estado_1,porcentaje_de_la_poblacion_ocupada_sin_acceso_a_la_seguridad_social_2008,porcentaje_de_la_poblacion_ocupada_sin_acceso_a_la_seguridad_social_2010,porcentaje_de_la_poblacion_ocupada_sin_acceso_a_la_seguridad_social_2012,porcentaje_de_la_poblacion_ocupada_sin_acceso_a_la_seguridad_social_2014,porcentaje_de_la_poblacion_ocupada_sin_acceso_a_la_seguridad_social_2016,porcentaje_de_la_poblacion_ocupada_sin_acceso_a_la_seguridad_social_2018,miles_de_personas_ocupadas_sin_acceso_a_la_seguridad social_2008,miles_de_personas_ocupadas_sin_acceso_a_la_seguridad social_2010,miles_de_personas_ocupadas_sin_acceso_a_la_seguridad social_2012,miles_de_personas_ocupadas_sin_acceso_a_la_seguridad social_2014,miles_de_personas_ocupadas_sin_acceso_a_la_seguridad social_2016,miles_de_personas_ocupadas_sin_acceso_a_la_seguridad social_2018,porcentaje_de_la_poblacion_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2008,porcentaje_de_la_poblacion_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2010,porcentaje_de_la_poblacion_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2012,porcentaje_de_la_poblacion_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2014,porcentaje_de_la_poblacion_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2016,porcentaje_de_la_poblacion_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2018,miles_de_personas_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2008,miles_de_personas_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2010,miles_de_personas_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2012,miles_de_personas_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2014,miles_de_personas_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2016,miles_de_personas_no_economicamente_activa_sin_acceso_a_la_seguridad_social_2018,porcentaje_de_la_poblacion_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2008,porcentaje_de_la_poblacion_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2010,porcentaje_de_la_poblacion_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2012,porcentaje_de_la_poblacion_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2014,porcentaje_de_la_poblacion_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2016,porcentaje_de_la_poblacion_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2018,miles_de_personas_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2008,miles_de_personas_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2010,miles_de_personas_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2012,miles_de_personas_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2014,miles_de_personas_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2016,miles_de_personas_de_65_anios_o_mas_sin_acceso_a_la_seguridad_social_2018
aguascalientes,51.7,49.3,47.7,44.9,41.5,45.6,222.605,222.757,244.193,242.58,251.773,285.014,45,44.1,40.7,36.3,34.3,36.6,134.516,135.44,122.672,111.543,93.65,113.524,24.7,28.3,21.8,10.2,7.2,12.3,14.63,20.885,17.283,8.171,5.852,12.298
baja_california,52,57.3,59.6,57,44.6,50.6,659.369,715.907,775.704,815.809,732.274,846.702,45.9,48.7,45.1,44.7,39.8,38.4,361.922,454.367,430.577,412.183,339.935,359.935,32.7,30.1,23.9,27.6,14,17.3,52.095,49.057,49.986,52.413,25.187,41.536
baja_california_sur,51.1,49.6,47.1,52.8,42,46.7,133.345,128.831,143.518,173.669,155.665,189.942,41,39,37.3,37.6,35.2,34.5,58.623,69.994,69.86,68.587,65.711,67.49,16.5,17.3,20.9,10.8,7,10.8,4.488,6.336,9.331,3.568,3.012,5.616
campeche,59.2,61,62.8,62.7,60.4,64.7,200.43,224.431,238.074,277.001,270.168,303.186,51.7,50.7,51.4,48.2,47.5,46.3,106.404,101.63,114.289,83.319,92.873,91.702,32.1,25.1,24.4,15.9,16.3,14.8,16.042,14.098,14.475,9.047,10.057,9.549
coahuila,37.4,38.7,37.3,35.8,33,33.2,380.451,438.042,466.39,440.168,421.203,443.078,29.7,28.7,25.4,28.4,24.4,25.1,224.662,201.003,183.765,214.185,186.92,199.768,15.9,15.2,11.9,8.6,5.1,7.3,28.035,23.146,22.667,17.545,11.076,17.877
colima,55.3,59.1,53.3,54.4,50.3,52.3,155.007,170.921,164.316,179.467,176.659,199.235,42.5,44.6,40.8,41,40.1,39.2,69.741,69.216,73.061,66.308,67.104,66.6,29.2,27.2,22.5,11.3,10.1,9,15.868,11.994,12.805,6.132,5.61,5.67
chiapas,83.5,83.5,84.2,83.6,81.5,84.2,1369.559,"1,446.48","1,716.31","1,753.50","2,020.16","2,210.83",78.3,73.3,73.5,72.5,67.7,71.1,984.22,958.369,874.334,833.153,644.069,617.667,36.3,17.8,23.1,20.7,21.8,33.3,101.089,50.538,64.524,65.234,72.721,103.173
chihuahua,54.4,49.1,52.9,46,40.5,46.6,732.758,635.53,751.043,677.757,668.598,797.938,44.4,39.3,39.2,37,37,34.3,406.037,382.268,416.453,372.016,329.837,339.636,28.9,21.6,22.6,15.7,13.6,14.7,65.152,58.759,69.195,43.745,33.04,45.342
ciudad_de_mexico,51.2,55,56,48.6,48.9,51.7,2045.605,"2,191.55","2,082.59","1,860.65","2,092.75","2,177.29",41,41.2,40.7,37.2,35.4,37.9,1007.236,"1,010.64","1,126.34","1,029.23",874.688,1000.101,13.4,16.2,16,9.4,8.2,10.5,99.173,117.628,126.72,85.793,76.212,97.707
durango,55.9,59.1,60.1,53.6,51.9,52,320.113,360.207,377.07,352.145,405.718,390.67,48.7,52.7,48.1,43.1,40.8,39.2,218.086,250.314,229.2,209.354,179.498,192.494,27,26.7,23.2,9.9,8.2,10.9,30.765,30.86,29.725,13.388,10.982,16.234
guanajuato,63.5,65.3,62,60,56,58,1363.749,"1,362.23","1,480.00","1,364.01","1,518.48","1,550.19",58.2,60.9,55.2,51.8,44.8,50.1,748.946,897.765,746.387,778.55,584.932,695.741,37.8,41.6,27.2,17.8,13.6,19.1,119.457,151.452,97.554,70.976,58.21,81.73
guerrero,78.8,78.8,78.7,77.6,75.4,77,967.872,"1,131.25","1,113.49","1,158.01","1,258.29","1,373.91",70.8,66.7,66.6,67,60.3,61.8,559.674,457.292,545.524,545.1,443.129,418.154,45.9,36.2,35.6,22.7,19.6,27,116.743,97.124,100.953,69.342,66.538,86.255
hidalgo,75.1,73.3,71.7,70.8,73.7,73.5,743.688,785.806,918.904,890.447,"1,000.86","1,095.50",69.6,63.7,61.5,58.3,60.2,57.2,487.216,476.533,377.688,421.853,369.01,361.285,44.6,38.9,35.8,22.8,23.1,21,88.617,83.245,73.86,53.679,50.295,58.562
jalisco,55.5,55.1,54.6,51.1,50.1,53.5,1667.152,"1,755.60","1,715.11","1,742.08","1,946.56","2,106.42",50.5,49.1,47.1,42.1,40.5,40.5,826.782,846.905,873.18,827.658,702.099,747.248,36.9,33.1,24.8,17.7,14.8,16.5,154.467,171.119,137.993,121.755,96.054,116.709
mexico,66.6,63.8,68,64.4,57.6,63.4,4155.371,"3,816.06","4,508.10","4,291.22","4,197.38","5,160.01",58,49.4,55.1,49.9,46.4,45.8,2195.642,"2,117.91","2,512.68","2,358.31","2,133.91","2,126.02",39.9,27.9,34.9,22.7,16.7,18.6,318.217,251.469,410.229,246.567,214.987,245.321
michoacan,75.7,71.6,72.7,71.4,70,71.4,1210.973,"1,176.63","1,330.84","1,418.42","1,536.29","1,588.50",67.9,65.3,61.7,61,55.8,56.4,799.05,770.31,679.093,641.624,525.286,586.488,42,35.1,32.2,21.2,16.7,20.5,134.784,114.675,105.631,80.127,70.478,83.998
morelos,71,65.7,66.7,68.7,64.2,72,506.874,512.813,556.376,573.066,592.797,685.732,61.9,55.3,53.5,53.5,49.8,51,270.096,238.607,229.152,247.88,238.724,252.287,40.8,32.6,33.3,17.6,14.2,21.1,53.543,44.293,49.408,26.203,24.94,42.211
nayarit,63.9,61.4,63.9,54.5,56.1,59.2,268.609,293.557,304.199,276.297,340.296,366.994,57.6,54.8,52.2,47,45.7,44,161.509,145.934,155.416,144.035,116.972,120.906,33.6,28.1,22.5,14.1,11.2,11.7,26.69,24.851,21.452,14.397,11.856,14.443
